YearsGroup,DevType,Database,Count,Rank
junior,Academic researcher,MySQL,41,1
junior,Academic researcher,PostgreSQL,34,2
junior,Academic researcher,MongoDB,28,3
junior,Academic researcher,SQLite,25,4
junior,Academic researcher,Microsoft SQL Server,14,5
junior,Academic researcher,Redis,12,6
junior,Academic researcher,Firebase,9,7
junior,Academic researcher,Elasticsearch,8,8
junior,Academic researcher,MariaDB,7,9
junior,Academic researcher,Oracle,7,10
junior,Academic researcher,DynamoDB,6,11
junior,Academic researcher,Cloud Firestore,4,12
junior,Academic researcher,Cassandra,4,13
junior,Academic researcher,IBM DB2,2,14
junior,Academic researcher,Microsoft Access,1,15
junior,Academic researcher,Firebase Realtime Database,1,16
junior,Blockchain,MongoDB,22,1
junior,Blockchain,MySQL,11,2
junior,Blockchain,Redis,9,3
junior,Blockchain,PostgreSQL,8,4
junior,Blockchain,SQLite,6,5
junior,Blockchain,Microsoft SQL Server,4,6
junior,Blockchain,Cloud Firestore,4,7
junior,Blockchain,Firebase Realtime Database,3,8
junior,Blockchain,MariaDB,2,9
junior,Blockchain,DynamoDB,1,10
junior,Cloud infrastructure engineer,PostgreSQL,25,1
junior,Cloud infrastructure engineer,MySQL,20,2
junior,Cloud infrastructure engineer,Microsoft SQL Server,15,3
junior,Cloud infrastructure engineer,MongoDB,12,4
junior,Cloud infrastructure engineer,DynamoDB,11,5
junior,Cloud infrastructure engineer,Redis,10,6
junior,Cloud infrastructure engineer,SQLite,9,7
junior,Cloud infrastructure engineer,MariaDB,6,8
junior,Cloud infrastructure engineer,Elasticsearch,6,9
junior,Cloud infrastructure engineer,Cloud Firestore,5,10
junior,Cloud infrastructure engineer,Firebase Realtime Database,4,11
junior,Cloud infrastructure engineer,Dynamodb,3,12
junior,Cloud infrastructure engineer,BigQuery,2,13
junior,Cloud infrastructure engineer,Cassandra,2,14
junior,Cloud infrastructure engineer,Oracle,1,15
junior,Data or business analyst,MySQL,146,1
junior,Data or business analyst,PostgreSQL,131,2
junior,Data or business analyst,Microsoft SQL Server,105,3
junior,Data or business analyst,SQLite,101,4
junior,Data or business analyst,MongoDB,72,5
junior,Data or business analyst,Oracle,37,6
junior,Data or business analyst,Redis,23,7
junior,Data or business analyst,MariaDB,20,8
junior,Data or business analyst,Firebase,17,9
junior,Data or business analyst,Elasticsearch,12,10
junior,Data or business analyst,IBM DB2,11,11
junior,Data or business analyst,Cassandra,11,12
junior,Data or business analyst,DynamoDB,9,13
junior,Data or business analyst,Cloud Firestore,7,14
junior,Data or business analyst,Firebase Realtime Database,6,15
junior,Data or business analyst,Microsoft Access,3,16
junior,Data or business analyst,BigQuery,3,17
junior,Data or business analyst,Snowflake,2,18
junior,Data or business analyst,Neo4j,2,19
junior,Data or business analyst,DuckDB,1,20
junior,Data or business analyst,Couch DB,1,21
junior,Data or business analyst,Firebird,1,22
junior,Data or business analyst,CouchDB,1,23
junior,Data or business analyst,Couchbase,1,24
junior,Data scientist or machine learning specialist,MySQL,108,1
junior,Data scientist or machine learning specialist,PostgreSQL,92,2
junior,Data scientist or machine learning specialist,SQLite,76,3
junior,Data scientist or machine learning specialist,Microsoft SQL Server,70,4
junior,Data scientist or machine learning specialist,MongoDB,57,5
junior,Data scientist or machine learning specialist,Redis,21,6
junior,Data scientist or machine learning specialist,Elasticsearch,18,7
junior,Data scientist or machine learning specialist,Oracle,18,8
junior,Data scientist or machine learning specialist,Firebase,18,9
junior,Data scientist or machine learning specialist,DynamoDB,16,10
junior,Data scientist or machine learning specialist,MariaDB,13,11
